Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
IRAS23253-5415,0.13,12.57,1.08,,,,,1.71,0.22,2.81,0.46,2.31,0.22,2.08,0.47,2.46,0.49,2.54,0.07,3.13,0.35,1.0436,0.0046,0.4368,0.004,0.1654,0.0049,2.296,0.18,3.493,0.21,,,,,0.214,0.028,,,,,,,,,,,,,,,,,,,,,0.018194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23365+3604,0.0645,18,0.6,8.31777441,0.459210663,5.230434285,0.259441753,4.09,0.03,7.87,0.08,5.6,0.6,,,,,,,,,1.8485,0.0056,0.6693,0.004,0.2095,0.0049,7.44,0.046,9.01,0.216,0.02,0.006,0.17,0.051,0.94,0.025,6.75,2,,,3.35,1,3.01,0.9,,,,,,,,,,,,,0.023045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk1014,0.16311,4.33,1.07,2.072552055,0.1143893,1.295553618,0.067458711,0.7,0.23,2.18,0.33,0.86,0.16,1.83,0.39,1.85,0.37,1.21,0.07,1.82,0.27,0.4595,0.0038,0.1752,0.0039,0.0626,0.0046,2.377,0.056,2.322,0.13,,,,,0.52,0.058,,,1.05,0.32,,,0.65,0.2,,,,,,,,,,,,,0.006886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC5101,0.039367,55.9,2.8,,,15.269152,1.073330275,12.18,0.08,14.55,0.12,,,,,,,,,,,6.071,0.0387,2.3274,0.0179,0.7458,0.0089,11.68,0.034,19.91,0.137,0.143,0.025,1.433,0.304,1.15,0.02,,,,,,,,,,,,,,,,,,,,,0.082038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C273,0.1583,1.47,0.24,,,,,0.31,0.21,,,0.42,0.14,,,,,0.37,0.06,,,0.4369,0.0038,0.6332,0.0039,0.9938,0.005,2,0.14,2.891,0.203,6.454,0.649,,,0.941,0.027,1.546,0.094,1.09,0.08,1.56,0.075,0.79,0.11,,,,,,,,,,,,,0.109318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk231,0.04217,38.3,1.3,30.60424422,1.700470595,16.94738361,0.844576024,,,,,16,1.7,32.4,3.2,37.2,3.6,,,,,5.6184,0.0189,2.0109,0.0075,0.6151,0.0083,31.99,1.6,30.29,1.211,0.096,0.018,0.513,0.169,8.84,0.028,24.32,7.3,14.7,4.4,9.75,2.93,6.88,2.06,16.1,2.2,15.3,1.6,42.9,4,34.1,4.4,0.0498,0.0121,0.0281,0.0067,0.067661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk273,0.03778,65.7,2.9,22.58645585,1.245648164,12.82742178,0.637136489,9.57,0.09,17.78,0.08,12.5,1.3,,,22.3,2,15.4,1.3,,,4.1897,0.0113,1.4927,0.0056,0.4706,0.0062,21.74,0.87,21.38,0.86,0.084,0.022,0.71,0.25,2.36,0.024,23.6,0.52,16.95,0.22,7.48,0.2,5.75,0.3,8.4,1,8.3,1,24.9,2.5,22.6,2.3,,,,,0.051766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk463,0.050355,21.33,0.88,,,,,0.74,0.12,1.42,0.65,0.91,0.08,1.13,0.96,1.47,0.31,1.05,90.06,1.56,0.21,0.3438,0.0035,0.1335,0.0035,0.0521,0.0047,2.184,0.655,1.924,0.211,,,,,1.576,0.095,1.6,0.48,0.8,0.15,,,0.45,0.135,1,0.2,,,2,0.2,,,,,,,0.005731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arp220,0.018,109.6,13.1,,,85.64651107,4.243402057,76.28,0.35,123.71,0.18,,,,,,,,,,,30.4137,0.1322,12.0643,0.0361,4.1448,0.0148,103.8,3.38,112.4,3.372,0.832,0.086,6.286,1.482,,,,,,,,,,,,,,,,,,,,,,,0.455928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC6240,0.0244,331.6,11.1,28.13568177,1.5619006,18.58519059,0.923363717,17.44,0.26,28.8,0.64,17.9,3.1,16.5,2.5,,,20.8,3.7,,,5.1661,0.0291,2.0307,0.0092,0.7435,0.0081,22.94,0.054,26.49,0.174,0.15,0.045,1,0.3,3.55,0.02,23.7,0.3,18.2,0.2,9.5,0.1,7.1,0.3,16.8,2.8,11.5,2.1,,,25.8,4,,,,,0.081785
