Name,Redshift,[CII] e-17W/m^2,E[CII],F100_Jy,E100_Jy,F160_Jy,E160_Jy,F157_Jy,E157_Jy,F63_Jy,E63_Jy,F145_Jy,E145_Jy,F52_Jy,E52_Jy,F57_Jy,E57_Jy,F122_Jy,E122_Jy,F79_Jy,E79_Jy,F250_Jy,E250_Jy,F350_Jy,E350_Jy,F500_Jy,E500_Jy,F60_Jy,E60_Jy,F100_Jy,E100_Jy,F850_Jy,E850_Jy,F450_Jy,E450_Jy,F25_Jy,E25_Jy,F120_Jy,E120_Jy,F150_Jy,E150_Jy,F180_Jy,E180_Jy,F200_Jy,E200_Jy,F158_Jy,E158_Jy,F170_Jy,E170_Jy,F63_H_Jy,E63_H_Jy,F88_Jy,E88_Jy,F1300_Jy,E1300_Jy,F2000_Jy,E2000_Jy,Pred870
IRAS20414-1651,0.087084,9.13,0.46,,,,,2.65,0.48,,,3.52,0.64,,,,,4.37,0.14,,,1.3151,0.0047,0.5192,0.004,0.1681,0.0051,4.364,0.262,5.247,0.367,,,,,0.346,0.062,3.6,1.08,2.56,0.77,1.54,0.46,,,,,,,,,,,,,,,0.018491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS20551-4250,0.042996,45.2,1.6,10.4130616939,0.6386843921,5.7642964361,0.2861337821,5.47,0.08,12.32,0.06,6,0.7,,,,,7.7,0.7,,,1.6291,0.0053,0.5557,0.0039,0.1702,0.0047,12.19,0.032,10.31,0.065,,,,,1.87,0.031,7,0.3,4.4,0.2,2.1,0.1,1,0.3,5.4,0.8,4.63,1.3,,,,,,,,,0.018722
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS22491-1808,0.0778,15.5,0.5,4.95668912,0.3024840707,2.7164814105,0.1384315339,1.91,0.03,5.68,0.07,,,,,,,,,,,0.8619,0.004,0.3045,0.0039,0.0965,0.0046,5.54,0.036,4.64,0.095,0.019,0.0057,,,0.56,0.074,3.55,1.07,2.7,0.81,1.95,0.59,1.7,0.51,3.3,1,,,,,,,,,,,0.010615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23128-5919,0.0446,18,0.6,11.1795210842,0.7215608661,6.093007978,0.3066630293,4.09,0.03,7.87,0.08,4.6,0.5,10.9,1,9,1.1,6,0.7,,,1.5649,0.0078,0.5562,0.0061,0.1763,0.0073,10.94,0.037,10.68,0.1,,,,,1.64,0.026,11.4,0.6,7.95,0.25,4.31,0.18,2.8,0.3,6.1,1.3,5.7,0.8,,,,,,,,,0.019393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23230-6926,0.10659,9.99,0.2,,,,,1.58,0.44,4.26,1.17,2.01,0.29,3.66,0.99,,,2.46,0.17,,,0.6165,0.0043,0.2039,0.0036,0.0638,0.0045,3.74,0.15,3.42,0.21,,,,,0.295,0.024,4.1,1.23,3,0.9,2,0.6,1.7,0.51,,,,,,,,,0.01,0.003,,,0.007018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23253-5415,0.13,12.57,1.08,,,,,2.08,0.58,3.02,0.74,2.66,0.53,,,,,2.75,0.13,,,1.0436,0.0046,0.4368,0.004,0.1654,0.0049,2.296,0.18,3.493,0.21,,,,,0.214,0.028,,,,,,,,,,,,,,,,,,,,,0.018194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRAS23365+3604,0.0645,18,0.6,8.2518376789,0.5332234936,5.2304342847,0.2594417529,4.09,0.03,7.87,0.08,5.6,0.6,,,,,,,,,1.8485,0.0056,0.6693,0.004,0.2095,0.0049,7.44,0.046,9.01,0.216,0.02,0.006,0.17,0.051,0.94,0.025,6.75,2,,,3.35,1,3.01,0.9,,,,,,,,,,,,,0.023045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk1014,0.16311,4.33,1.07,2.0194062918,0.1261507102,1.2955536179,0.0674587109,0.9,0.65,2.31,0.53,1.06,0.44,1.93,0.61,,,1.31,0.14,,,0.4595,0.0038,0.1752,0.0039,0.0626,0.0046,2.377,0.056,2.322,0.13,,,,,0.52,0.058,,,1.05,0.32,,,0.65,0.2,,,,,,,,,,,,,0.006886
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC5101,0.039367,55.9,2.8,,,15.2691520036,1.0733302753,12.18,0.08,14.55,0.12,,,,,,,,,,,6.071,0.0387,2.3274,0.0179,0.7458,0.0089,11.68,0.034,19.91,0.137,0.143,0.025,1.433,0.304,1.15,0.02,,,,,,,,,,,,,,,,,,,,,0.082038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C273,0.1583,1.47,0.24,,,,,,,,,,,,,,,,,,,0.4369,0.0038,0.6332,0.0039,0.9938,0.005,2,0.14,2.891,0.203,6.454,0.649,,,0.941,0.027,1.546,0.094,1.09,0.08,1.56,0.075,0.79,0.11,,,,,,,,,,,,,0.109318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk231,0.04217,38.3,1.3,30.4007340418,1.8923413334,16.9473836112,0.8445760238,,,,,16,1.7,32.4,3.2,37.2,3.6,,,,,5.6184,0.0189,2.0109,0.0075,0.6151,0.0083,31.99,1.6,30.29,1.211,0.096,0.018,0.513,0.169,8.84,0.028,24.32,7.3,14.7,4.4,9.75,2.93,6.88,2.06,16.1,2.2,15.3,1.6,42.9,4,34.1,4.4,0.0498,0.0121,0.0281,0.0067,0.067661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk273,0.03778,65.7,2.9,22.3428950637,1.3860574379,12.8274217785,0.6371364892,9.57,0.09,17.78,0.08,12.5,1.3,,,22.3,2,15.4,1.3,,,4.1897,0.0113,1.4927,0.0056,0.4706,0.0062,21.74,0.87,21.38,0.86,0.084,0.022,0.71,0.25,2.36,0.024,23.6,0.52,16.95,0.22,7.48,0.2,5.75,0.3,8.4,1,8.3,1,24.9,2.5,22.6,2.3,,,,,0.051766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrk463,0.050355,21.33,0.88,,,,,0.95,0.33,1.55,1.03,1.07,0.18,,,1.59,0.48,1.21,0.12,,,0.3438,0.0035,0.1335,0.0035,0.0521,0.0047,2.184,0.655,1.924,0.211,,,,,1.576,0.095,1.6,0.48,0.8,0.15,,,0.45,0.135,1,0.2,,,2,0.2,,,,,,,0.005731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arp220,0.018,109.6,13.1,,,85.6465110681,4.2434020567,76.28,0.35,123.71,0.18,,,,,,,,,,,30.4137,0.1322,12.0643,0.0361,4.1448,0.0148,103.8,3.38,112.4,3.372,0.832,0.086,6.286,1.482,,,,,,,,,,,,,,,,,,,,,,,0.455928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC6240,0.0244,331.6,11.1,28.0264996412,1.9482503924,18.5851905887,0.923363717,17.44,0.26,28.8,0.64,17.9,3.1,16.5,2.5,,,20.8,3.7,,,5.1661,0.0291,2.0307,0.0092,0.7435,0.0081,22.94,0.054,26.49,0.174,0.15,0.045,1,0.3,3.55,0.02,23.7,0.3,18.2,0.2,9.5,0.1,7.1,0.3,16.8,2.8,11.5,2.1,,,25.8,4,,,,,0.081785
